ID,arr_influencer
0-1-0,"INFL_0110,INFL_8010,INFL_0129,INFL_8110"
0-0-0,"INFL_8190,INFL_8010,INFL_0146,INFL_8030"
1-1-0,"INFL_8073,INFL_8083,INFL_8052,INFL_8075,INFL_8024"
1-0-0,"INFL_0141,INFL_0146,INFL_0148,INFL_0149"
2-1-0,"INFL_8120,INFL_0150,INFL_8164,INFL_0153,INFL_8009,INFL_8146,INFL_8179,INFL_0157,INFL_0174"
2-0-0,"INFL_8092,INFL_8120,INFL_0128,INFL_8094,INFL_8009,INFL_8146,INFL_0159,INFL_0128,INFL_0183"
3-1-0,"INFL_8130,INFL_8187,INFL_0160,INFL_0161,INFL_8034,INFL_0134,INFL_0135,INFL_0155"
3-0-0,"INFL_8187,INFL_0160,INFL_0346,INFL_8034,INFL_0154,INFL_0178"
4-1-0,"INFL_0136,INFL_0137,INFL_8171,INFL164"
4-0-0,"INFL164,INFL_0190,INFL_0191,INFL_0137"
0-1-1,"INFL_0116,INFL_0321,INFL_0329,INFL_8089"
0-0-1,"INFL_8109,INFL_0145,INFL_0146"
1-1-1,"INFL_8083,INFL_8005,INFL_8098,INFL_0330"
1-0-1,"INFL_8005,INFL_0142,INFL_0143,INFL_8159"
2-1-1,"INFL_8119,INFL_8093,INFL_8163,INFL_0165,INFL_0174"
2-0-1,"INFL_8093,INFL_8119,INFL_0131,INFL_0183"
3-1-1,"INFL_8152,INFL_0133,INFL_0163,INFL_0166,INFL_0156,INFL_8182,INFL_0131"
3-0-1,"INFL_8152,INFL_0133,INFL_0166,INFL_0163"
4-1-1,"INFL_8172,INFL_0167,INFL_8134,INFL_8153"
4-0-1,"INFL_0190,INFL_0191,INFL_8040,INFL_0167"
0-1-2,"INFL_8066,INFL_0321,INFL_0322,INFL_8087"
0-0-2,"INFL_8109,INFL_0228,INFL_8066,INFL_8193"
1-1-2,"INFL_0004,INFL_0006,INFL_8003,INFL_0226,INFL_0334"
1-0-2,"INFL_8160,INFL_0337,INFL_0004,INFL_8099"
2-1-2,"INFL_8118,INFL_0118,INFL_8175,INFL_8071"
2-0-2,"INFL_0106,INFL_8071,INFL_8096,INFL_0337,INFL_8118"
3-1-2,"INFL_8197,INFL_0027,INFL_0170,INFL_8182"
3-0-2,"INFL_0175,INFL_0178,INFL_8197"
4-1-2,"INFL_0029,INFL_8147,INFL_8134,INFL_8153"
4-0-2,"INFL_0191,INFL_0335,INFL_8147,INFL_8134"
0-1-3,"INFL_8069,INFL_8088,INFL_8126,INFL_0327,INFL_0328,INFL_8011"
0-0-3,"INFL_8059,INFL_8011,INFL_8088,INFL_8126"
1-1-3,"INFL_8086,INFL_0315,INFL_0316,INFL_8080,INFL_8011"
1-0-3,"INFL_0318,INFL_8100,INFL_8086,INFL_0316,INFL_0343"
2-1-3,"INFL_0012,INFL_8008,INFL_8068,INFL_8056,INFL186"
2-0-3,"INFL_0176,INFL_0012,INFL_8068,INFL_0343"
3-1-3,"INFL_8194,INFL_8184,INFL_8143,INFL_8200"
3-0-3,"INFL_8143,INFL_8194,INFL_8184"
4-1-3,"INFL_0035,INFL_8117,INFL_8043,INFL_0312"
4-0-3,"INFL_8140,INFL_0035,INFL_8117,INFL_8043,INFL_0312"
0-1-4,"INFL_8082,INFL_0299,INFL_8166,INFL_0314"
0-0-4,"INFL_8032,INFL_8112,INFL_8192,INFL_0319"
1-1-4,"INFL_8090,INFL_8007,INFL_0300,INFL_8062"
1-0-4,"INFL_8090,INFL_0308,INFL_0320,INFL_0341,INFL_0300"
2-1-4,"INFL_8091,INFL_8079,INFL_0020,INFL_8176,INFL_0342"
2-0-4,"INFL_0342,INFL_8079,INFL_0020,INFL_8176"
3-1-4,"INFL_8181,INFL_0288,INFL_8158,INFL_8116"
3-0-4,"INFL_8037,INFL_8158,INFL_8135,INFL_8181"
4-1-4,"INFL_8169,INFL_8015,INFL_8046,INFL296"
4-0-4,"INFL_8018,INFL_8169,INFL_8077,INFL_8015,INFL_8046,INFL296"
0-1-5,"INFL_8125,INFL_8085,INFL_0240,INFL_8061"
0-0-5,"INFL_0233,INFL_0220,INFL_8022,INFL_0293"
1-1-5,"INFL_8007,INFL_8036,INFL_8098,INFL_8053"
1-0-5,"INFL_0147,INFL_8031,INFL_0298,INFL_8007"
2-1-5,"INFL_8068,INFL_8189,INFL_8206,INFL_0284,INFL_0286"
2-0-5,"INFL_8068,INFL_8189,INFL_8206,INFL_0284,INFL_0286"
3-1-5,"INFL_8117,INFL_8183,INFL_8097,INFL_8072"
3-0-5,"INFL_8183,INFL_8039,INFL_8117,INFL_8097"
4-1-5,"INFL_8015,INFL_0287,INFL_8150,INFL_8140"
4-0-5,"INFL_8140,INFL_8023,INFL_0295,INFL_8150"
0-1-6,"INFL_8081,INFL_0196,INFL_8165,INFL_0243"
0-0-6,"INFL_0233,INFL_8113,INFL_8191,INFL_0247"
1-1-6,"INFL_8124,INFL_0195,INFL_0249,INFL_0249"
1-0-6,"INFL_8031,INFL_8162,INFL_0246,INFL_0248"
2-1-6,"INFL_0010,INFL_8188,INFL_8020,INFL_8070,INFL_8145,INFL_0016,INFL_0017,INFL_0043,INFL_8177"
2-0-6,"INFL_8177,INFL_0010,INFL_8020"
3-1-6,"INFL_0034,INFL_0025,INFL_8199,INFL_0169"
3-0-6,"INFL_0034,INFL_0252,INFL_8136,INFL_0277"
4-1-6,"INFL_8168,INFL_0168,INFL_0253,INFL_8198"
4-0-6,"INFL_8041,INFL_0255,INFL_0256,INFL_8168"
0-1-7,"INFL_8084,INFL_0349,INFL_8121,INFL_8060"
0-0-7,"INFL_8114,INFL_8026,INFL_0352,INFL_8167"
1-1-7,"INFL_8006,INFL_8026,INFL_0352,INFL_8167"
1-0-7,"INFL_8102,INFL_8161,INFL_0357"
2-1-7,"INFL_8054,INFL_0357,INFL358"
2-0-7,"INFL_0106,INFL_8180,INFL_8002"
3-1-7,"INFL_8196,INFL_0348,INFL_8180,INFL_8002"
3-0-7,"INFL_0175,INFL_8196,INFL_8180"
4-1-7,"INFL_8043,INFL_8207,INFL_8106,INFL_8140"
4-0-7,"INFL_8042,INFL_8043,INFL_8140,INFL_8207"
0-1-8,"INFL_0216,INFL_0217,INFL_0219,INFL_0220"
0-0-8,"INFL_0216,INFL_0217,INFL_0219,INFL_0220"
1-1-8,"INFL_0203,INFL_8025,INFL_0210,INFL_8065"
1-0-8,"INFL_8095,INFL_8101,INFL_0203,INFL_8025"
2-1-8,"INFL_0204,INFL_0212,INFL_0013,INFL_8155,INFL_8105"
2-0-8,"INFL_8105,INFL_0212,INFL_8205,INFL_0204"
3-1-8,"INFL_0199,INFL_0200,INFL_8195,INFL_0208,INFL_8115,INFL_0345,INFL_8196"
3-0-8,"INFL_0199,INFL_0200,INFL_0200,INFL_0208"
4-1-8,"INFL_0197,INFL_8173,INFL_8058,INFL_0205,INFL_8044"
4-0-8,"INFL_0197,INFL_8173,INFL_8058,INFL_0205,INFL_8044"
0-1-9,"INFL_8122,INFL_0223,INFL_0265,INFL_8127"
0-0-9,"INFL_8111,INFL_0269,INFL_8122,INFL_0223"
1-1-9,"INFL_0108,INFL_8124,INFL_8021,INFL_8026"
1-0-9,"INFL_0108,INFL_8124,INFL_8021"
2-1-9,"INFL_8056,INFL_8021,INFL_8055,INFL_0260"
2-0-9,"INFL_0106,INFL_0176,INFL_8107,INFL_0360"
3-1-9,"INFL_8143,INFL_8200,INFL_0263,INFL_8115"
3-0-9,"INFL_0274,INFL_8139,INFL_0276"
4-1-9,"INFL_8147,INFL_8029,INFL_0262,INFL_8144"
4-0-9,"INFL_8149,INFL_8038,INFL_0271,INFL_8045"
