ID,str_name,str_surname,str_influencer_key,str_youtube
INFL001,Bailey Van Der Veen,Bailey Van Der Veen,INFL001,unknown link
INFL002,Lauren Curtis,Lauren Curtis,INFL002,https://www.youtube.com/watch?v=DuARLDsqEY8&t=15s
INFL003,Thataylaa,Thataylaa,INFL003,https://www.youtube.com/watch?v=-wp_JWcNxjc
INFL004,Iamkareno,Iamkareno,INFL004,https://www.youtube.com/watch?v=YirG7hrXQsU
INFL005,Jessica Vu,Jessica Vu,INFL005,https://www.youtube.com/watch?v=mN-rI2I0HaQ
INFL006,Sarah Butler,Sarah Butler,INFL006,https://www.youtube.com/watch?v=VtsOAah-g8Y
INFL007,Amanda Ensing,Amanda Ensing,INFL007,https://www.youtube.com/watch?v=Oh_Bbt1EIrg
INFL008,Stephanie Ledda,Stephanie Ledda,INFL008,https://www.youtube.com/watch?v=jqf23ARtmOA
INFL009,Kaushal Beauty,Kaushal Beauty,INFL009,https://www.youtube.com/watch?v=C8J7rcOkFF4
INFL010,Nazanin Kavari,Nazanin Kavari,INFL010,https://www.youtube.com/watch?v=GdkG8KJcPc4
INFL011,Teni Panosian,Teni Panosian,INFL011,https://www.youtube.com/watch?v=cj_jHti0zHI
INFL012,Thuy Le,Thuy Le,INFL012,https://www.youtube.com/watch?v=ADgfBb1l7P8
INFL013,Bretman Rock,Bretman Rock,INFL013,https://www.youtube.com/watch?v=rv9-BWKuZNY
INFL014,Jayde Pierce,Jayde Pierce,INFL014,https://www.youtube.com/watch?v=QMyo4LxafVA
INFL015,Raye Boyce,Raye Boyce,INFL015,https://www.youtube.com/watch?v=jZ2wRKNwbiQ
INFL016,LoveEmanda,LoveEmanda,INFL016,https://www.youtube.com/watch?v=JcUC3Tj74Xo
INFL017,Chinutay,Chinutay,INFL017,https://www.youtube.com/watch?v=rqfhxaK7QKQ
INFL018,AnchalMUA,AnchalMUA,INFL018,https://www.youtube.com/watch?v=y0NB7fb19_M
INFL019,Teaira Walker,Teaira Walker,INFL019,https://www.youtube.com/watch?v=xbt3-FMYXPA
INFL020,Alyssa Forever,Alyssa Forever,INFL020,https://www.youtube.com/watch?v=BDx9hkabzoI
INFL021,Toni Olaoye,Toni Olaoye,INFL021,https://www.youtube.com/watch?v=q2HDBMhPiJM&t=6s
INFL022,MakeupTiffanyJ,MakeupTiffanyJ,INFL022,https://www.youtube.com/watch?v=dpew7R5oHyY
INFL023,DestinyLashaeMakeup,DestinyLashaeMakeup,INFL023,https://www.youtube.com/watch?v=uHyLsKEDx5w
INFL024,MonicaStyle Muse,MonicaStyle Muse,INFL024,https://www.youtube.com/watch?v=H5LiqQF5_Lo
INFL025,Beauty Rebellion,Beauty Rebellion,INFL025,https://www.youtube.com/watch?v=eyLLC1IiTlc
INFL026,Uche Natori,Uche Natori,INFL026,https://www.youtube.com/watch?v=gYANQw7fusc
INFL027,Halssa,Halssa,INFL027,https://www.youtube.com/watch?v=EcxnWCg0CU0
INFL028,Young Africana,Young Africana,INFL028,https://www.youtube.com/watch?v=ilds3wU43oA
INFL029,Nikki Perkins,Nikki Perkins,INFL029,https://www.youtube.com/watch?v=GncNEXddvk8
INFL030,Shanygyne (Too Much Mouth),Shanygyne (Too Much Mouth),INFL030,https://www.youtube.com/watch?v=sT_mu0aEKJc
INFL030,Shanygyne (Too Much Mouth),Shanygyne (Too Much Mouth),INFL030,https://www.youtube.com/watch?v=ozJ7p1f1ViQ
INFL032,Tailor Made Jane,Tailor Made Jane,INFL032,https://www.youtube.com/watch?v=RSulrnbyBlc
INFL032,Tailor Made Jane,Tailor Made Jane,INFL032,https://www.youtube.com/watch?v=Pjzbf_WFJLA
INFL034,Dana Alexia,Dana Alexia,INFL034,https://www.youtube.com/watch?v=-LOEzuFLCIw
INFL035,Gratsi,Gratsi,INFL035,https://www.youtube.com/watch?v=5LokC3BYk2k
INFL036,Sonjdra Deluxe,Sonjdra Deluxe,INFL036,https://www.youtube.com/watch?v=O7nI9-vMAwc
INFL036,Sonjdra Deluxe,Sonjdra Deluxe,INFL036,https://www.youtube.com/watch?v=40MuhWjbCAc
INFL036,Sonjdra Deluxe,Sonjdra Deluxe,INFL036,https://www.youtube.com/watch?v=sdhFMTF-jcI
INFL036,Sonjdra Deluxe,Sonjdra Deluxe,INFL036,https://www.youtube.com/watch?v=ncMyBozDTWA
INFL002,Lauren Curtis,Lauren Curtis,INFL002,https://www.youtube.com/watch?v=D_VFtQf27HA
INFL041,Carli Bybel,Carli Bybel,INFL041,https://www.youtube.com/watch?v=QiYDujOxpCY
INFL042,Nicole Guerriero,Nicole Guerriero,INFL042,https://www.youtube.com/watch?v=QLI2k-_nTSg
INFL043,Daily Baby,Daily Baby,INFL043,https://www.youtube.com/watch?v=jnMPLNrdLXA
INFL044,Klaudia Owczarek,Klaudia Owczarek,INFL044,https://www.youtube.com/watch?v=sC3lL_9ePYk
INFL007,Amanda Ensing,Amanda Ensing,INFL007,https://www.youtube.com/watch?v=lVmwgPp7jc4
INFL046,Rose Kimberly,Rose Kimberly,INFL046,https://www.youtube.com/watch?v=4FujfvVeibs
INFL047,Sabina Hannan,Sabina Hannan,INFL047,https://www.youtube.com/watch?v=GDCwnI4Mb20
INFL048,Laura Leth,Laura Leth,INFL048,https://www.youtube.com/watch?v=EY3TmhBrHGc
INFL049,Hannah Renée,Hannah Renée,INFL049,https://www.youtube.com/watch?v=W28VU6JFFJY
