ID,pro_ori.[0],pro_ori.[1],pro_ori.[2],pro_ori.[3],pro_ori.[4],pro_ori.[5],pro_ori.[6],pro_ori.[7],pro_dup.[0],pro_dup.[1],pro_dup.[2],pro_dup.[3],pro_dup.[4],pro_dup.[5],pro_dup.[6],pro_dup.[7]
INFL_8010,O_247,O_428,,,,,,,D_24,D_0,,,,,,
INFL_8081,,,,,O_338,,,,,,,,D_1,,,
INFL_8190,,O_533,,,,,,,,D_2,,,,,,
INFL_0004,,,,,,,,,,,D_3,,,,,
INFL_8073,,,O_173,,,O_256,,,,,D_4,,,D_5,,
INFL_0006,O_95,,,,,,O_334,,,,,,,,D_7,
INFL_8003,,,O_292,,,O_251,,,,,D_8,,,D_9,,
INFL_8091,O_549,O_428,,,,,,,D_10,D_0,,,,,,
INFL_8079,O_188,,O_209,,,O_300,,,D_11,,D_12,,,D_9,,
INFL_0010,,,,,,,,,,,,,,,,
INFL_8188,O_188,,,,,,,,D_11,,,D_13,,,,
INFL_0012,O_199,,,,,O_256,,,D_10,,,,,D_5,,
INFL_0013,O_600,,,,,,,O_269,,,,,,,,D_84
INFL_8070,O_549,,O_332,,,,O_334,,D_11,,D_14,,,,D_15,
INFL_8145,,,,,,,,O_308,D_16,,,,,,,D_17
INFL_0016,,O_567,,,,,,O_546,,D_18,,,,,,D_19
INFL_0017,O_544,O_278,,,,,,,D_20,D_21,,,,,,
INFL_8008,O_350,O_570,,,,O_5,,,D_22,D_18,,,,D_23,,
INFL_8186,O_520,O_534,,,,,,,D_24,D_2,,,,,,
INFL_0020,O_434,O_428,O_426,,,,,,D_25,D_0,D_26,,,,,
INFL_8197,O_319,,,,,,O_334,,D_22,,,,,,D_28,
INFL_8194,,O_534,O_292,,,,,O_13,,D_2,D_29,,,,,D_30
INFL_8037,,,,,,O_5,,,,,,,,D_31,,
INFL_0024,,,,,,,O_244,,,,,,,,D_32,
INFL_0025,O_285,,,,,,O_320,,D_33,,,,,,D_34,
INFL_8199,,O_533,,,,,,O_42,,D_2,,,,,,D_35
INFL_0027,,,,,,,,O_13,,,,,,,,D_30
INFL_8207,O_432,O_534,,,,,,,D_36,D_2,,,,,,
INFL_0029,O_425,,O_337,,,,,,D_36,,D_37,,,,,
INFL_8168,O_188,O_534,,,,,,,D_11,D_2,,,,,,
INFL_8169,,,,,,,,O_13,,,,,,,,D_30
INFL_8184,O_434,O_533,,,,,,,D_38,D_2,,,,,,
INFL_8185,O_434,O_534,,,,,,,D_38,D_2,,,,,,
INFL_0034,O_170,,,,,,,,D_38,,,,,,,
INFL_0035,,,O_264,,,,,,,,D_39,,,,,
INFL_8175,,,O_292,,,,,,,,D_29,,,,,
INFL_8176,,O_534,,,,,,,,D_2,,,,,,
INFL_8177,,,,,,,O_265,,,,,,,,D_40,
INFL_8178,O_165,,,,,,,,D_22,,,,,,,
INFL_8082,,O_428,,,O_338,,,,,D_0,,,D_1,,,
INFL_8020,O_247,O_534,,,,,,,D_42,,,,,,,
INFL_8118,O_289,O_534,,,,,,,D_43,,,,,,,
INFL_0043,,,O_22,,,,,,,,D_44,,,,,
INFL_0044,,O_534,O_22,,,,,,,,D_44,,,,,
INFL_8004,,O_534,O_173,,,,,,,,D_45,,,,,
INFL_8151,O_384,,O_142,,,,,,D_84,,D_602,,,,,
INFL_8157,,,,,O_306,,,,,,,,D_46,,,
INFL_0048,O_549,,,,O_306,,,,D_11,,,,D_46,,,
INFL_8048,,,,,,O_5,,,,,,,,D_23,,
INFL_8047,,O_534,,,,,,,,D_47,,,,,,
INFL_8067,,,O_47,,,,,O_308,,,D_48,,,,,D_17
INFL_8074,O_350,,,,,,,,D_22,,,,D_49,,,
INFL_0053,O_571,O_534,,,,,,,D_25,D_47,,,,,,
INFL_8108,O_374,,,,,,,,,,,,,,,
INFL_8035,O_188,O_44,,,,,,,D_51,D_52,,,,,,
INFL_0056,O_154,O_61,,,,,,,D_53,D_54,,,,,,
INFL_8057,O_124,O_124,O_47,,,,,,D_25,D_25,D_48,,,,,
INFL_0058,O_432,O_428,,,,,,,D_55,D_0,,,,,,
INFL_8012,O_573,,O_292,,,,,,D_25,,D_56,,,,,
INFL_8013,O_202,O_248,,,,,,,D_57,D_58,,,,,,
INFL_8131,O_434,O_428,,,,,,,D_38,D_0,,,,,,
INFL_8132,O_273,O_277,,,,,,,D_60,D_61,,,,,,
INFL_0063,O_298,,,,,,O_318,,D_11,,,,,,D_63,
INFL_8014,,,O_292,,,,,,,,D_56,,,,,
INFL_8208,O_285,O_534,,,,,,,D_43,D_47,,,,,,
INFL_8170,O_361,,,,,O_87,,,D_25,,,,,D_9,,
INFL_8049,O_301,O_428,,,,,,,D_66,D_0,,,,,,
INFL_8050,O_165,O_428,,,,,,,D_67,D_0,,,,,,
INFL_8051,O_24,,O_209,,,,,,D_68,,,,,,,
INFL_8027,O_319,,,,,,O_318,,D_22,,,,,,D_70,
INFL_8028,O_319,O_437,,,,,,,D_22,D_71,,,,,,
INFL_8076,O_434,O_437,,,,,,,D_38,D_71,,,,,,
INFL_8077,O_170,O_99,,,,,,,D_38,D_0,,,,,,
INFL_8078,O_102,O_278,,,,,,,D_72,D_71,,,,,,
INFL_8016,O_101,O_261,,,,,,,D_72,D_73,,,,,,
INFL_8017,O_35,O_261,,,,,,,D_74,D_73,,,,,,
INFL_8128,O_396,O_438,O_47,,,,,,D_55,D_71,D_75,,,,,
INFL_8129,O_285,,,,,,O_334,,D_22,,,,,,D_76,
INFL_8137,O_603,O_604,O_605,,,,,,D_120,D_185,D_603,,,,,
INFL_8138,,O_248,O_10,,,,,,,D_58,D_77,,,,,
INFL_8141,O_55,O_55,,,,,,,D_78,D_78,,,,,,
INFL_8142,O_9,O_534,,,,,,,D_68,D_2,,,,,,
INFL_8000,O_434,O_570,,,,,,,D_38,D_18,,,,,,
INFL_8001,O_372,O_534,,,,,,,D_81,D_2,,,,,,
INFL_0086,O_434,O_570,,,,,,,D_38,D_18,,,,,,
INFL_0087,O_279,O_428,,,,,,,D_82,D_83,,,,,,
INFL_8133,O_273,O_277,,,,,,,D_84,D_83,,,,,,
INFL_8148,O_10,O_96,,,,,,,D_68,D_71,,,,,,
INFL_8033,O_199,O_428,,,,,,,D_85,D_83,,,,,,
INFL_0091,O_507,O_348,,,,,,,D_82,D_86,,,,,,
INFL_0092,O_124,O_123,,,,,,,D_25,D_25,,,,,,
INFL_8201,O_336,,O_67,,,,,,D_50,,D_88,,,,,
INFL_8202,O_522,O_522,,,,,,,D_68,D_68,,,,,,
INFL_8203,O_522,O_278,,,,,,,D_68,D_86,,,,,,
INFL_8204,O_134,,O_16,,,,,,D_83,,D_90,,,,,
INFL_8103,O_432,O_32,,,,,,,D_91,D_86,,,,,,
INFL_8104,O_432,O_533,,,,,,,D_91,D_2,,,,,D_92,
INFL_8156,O_369,O_348,,,,,,,,D_93,,,,,,
INFL_8063,O_372,O_534,,,,,,,,D_2,,,,,,
INFL_8064,O_374,O_273,,,,,,,,D_0,,,,,,
INFL_8123,O_372,O_220,,,,,,,,D_95,,,,,,
INFL_8124,O_372,O_220,,,,,,,,D_95,,,,,,
INFL_8083,O_441,O_486,,,,,,,D_96,D_86,,,,,,
INFL_8109,O_273,O_428,,,,,,,,D_0,,,,,,
INFL_0106,O_56,O_428,,,,,,,D_97,D_0,,,,,,
INFL_8092,O_168,,,,,,,,D_82,,,,,,,
INFL_0108,O_507,,,,,,,,,,,,,,,
INFL_8093,O_224,,,,,O_561,,O_293,D_98,,,,,D_99,,D_100
INFL_0110,O_247,,,,,,,O_299,D_2,,,,,,,D_101
INFL_8052,O_270,,,,,,O_64,O_111,D_102,,,,,,D_103,D_104
INFL_8119,O_273,O_451,,,,,,O_156,D_84,D_0,,,,,,
INFL_8120,O_276,,,O_338,,,,O_73,D_106,,,D_107,,,,D_108
INFL_8110,O_473,O_103,,O_72,,,O_104,,D_109,D_2,,D_110,,,D_111,
INFL_8030,O_495,,O_538,,,,,O_65,D_0,,,,,,,D_113
INFL_0116,,O_567,O_159,O_21,,O_255,,,,D_0,D_114,,,D_116,,
INFL_8154,O_568,O_417,O_8,,,,,O_323,D_117,D_95,D_118,,,,,D_119
INFL_0118,O_445,O_444,,,,,,,D_120,D_121,,,,,,
INFL_8009,O_120,O_428,O_209,,,,,,D_119,D_0,D_122,,,,,
INFL_8071,O_188,O_531,O_10,,,,,,D_51,D_124,D_125,,,,,
INFL_8034,O_354,O_321,,,,,,O_138,D_71,D_127,,,,,,D_108
INFL_8146,O_425,O_437,,,,O_439,,,D_72,D_129,,,,D_130,,
INFL_8130,O_549,O_34,,,,O_5,,,D_78,D_124,,,,D_131,,
