ID,str_prd_title,str_prd_link,num_prd_price,str_prd_type,str_prd_key
D_291,NYX Long Wearing Prismatic Eyeshadow - Liquid Gold,https://www.boots.com/nyx-professional-makeup-prismatic-eye-shadow-10207826,0,D,D_291
D_292,NYX Long Wearing Prismatic Eyeshadow - Frostbite,https://www.boots.com/nyx-professional-makeup-prismatic-eye-shadow-10207826,0,D,D_292
D_293,NYX round lipstick - Perfect,https://www.nyxcosmetics.co.uk/en_GB/lips/lipstick/extra-creamy-round-lipstick/NYX_006.html,0,D,D_293
D_294,NYX Matte Bronzer - dark,https://www.nyxcosmetics.co.uk/en_GB/face/bronzer/matte-bronzer/NYX_063.html,0,D,D_294
D_295,NYX Cosmetic Metals Lip Cream - Crystalized Metal,https://www.cultbeauty.co.uk/nyx-professional-makeup-cosmic-metals-lip-cream.html?variant_id=12410,0,D,D_295
D_296,Revolution Pearl Lights Loose Highlighter Powder - True Gold,https://www.superdrug.com/Make-Up/Face/Face-Highlighter/Revolution-Pearl-Lights-Loose-Highlighter-True-Gold/p/741526,0,D,D_296
D_297,Maybelline Fit Me Oil-Free Foundation stick,https://www.amazon.co.uk/Maybelline-New-York-Oil-Free-Foundation/dp/B00DRPSQ60,0,D,D_297
D_298,NYX Highlight & Contour pro palette,https://www.boots.com/nyx-professional-makeup-highlight-and-contour-pro-palette-10207791,0,D,D_298
D_299,Revolution Highlighter Palette Rose Gold,https://www.superdrug.com/B-Blusher-and-Bronzer/Revolution-Golden-Sugar-2-Rose-Gold-13G/p/689700,0,D,D_299
D_300,NYX Face & Body Glitter - Copper,https://www.cultbeauty.co.uk/nyx-professional-makeup-face-body-glitter.html?variant_id=10294,0,D,D_300
D_301,NYX Mineral foundation stick,https://www.boots.com/nyx-professional-makeup-mineral-stick-foundation-10213363,0,D,D_301
D_302,BH Cosmetics Weekend Festival 20 Colour Eyeshadow palette,https://www.beautybay.com/makeup/bhcosmetics/weekendfestival20colorpalette/?utm_source=like2buy.curalate.com&utm_term=curalate_like2buy_QChNROvo&crl8_id=0ac241e3-24ab-41c7-9447-5a5680a20dc9,0,D,D_302
D_303,NYX Soft Matte Lip Cream - Addis Ababa,https://beautyoutlets.co.uk/beauty/makeup/lipsticks/nyx-soft-matte-lip-cream-addis-ababa/,0,D,D_303
D_304,The Ordinary High spreadability primer,https://www.cultbeauty.co.uk/the-ordinary-high-spreadability-fluid-primer.html,0,D,D_304
D_305,L'Oreal Lumi Magique Foundation,https://pricespy.co.uk/beauty-health/makeup/foundations/loreal-lumi-magique-foundation-30ml--p1121324,0,D,D_305
D_306,Revoluton Liquid Highlighter drops - Bronze Gold,https://www.superdrug.com/Makeup-Revolution-Liquid-Highlighters/Revolution-Liquid-Highlighter-Bronze-Gold/p/741516,0,D,D_306
D_307,Revolution Highlighter peach lights - pink,https://www.luxplus.co.uk/product/revolution-makeup-vivid-baked-highlighter-pink-lights-75-g,0,D,D_307
D_308,NYX Soft Matte Lip Cream - Cairo,https://beautyoutlets.co.uk/beauty/makeup/lipsticks/nyx-soft-matte-lip-cream-cairo/,0,D,D_308
D_309,E.L.F. Stardrug Glitter Eyeliner - Shimmering Gold,https://www.superdrug.com/e-l-f-/e-l-f-Stardust-Glitter-Eyeliner-Shimmering-Gold/p/761092,0,D,D_309
D_310,Milani Strobelight Highlighter - After Glow,https://www.milanimakeup.co.uk/face/highlighters/milani-strobelight-instant-glow-powder/,0,D,D_310
D_311,NYX Mechanical Lip Liner - Natural,https://www.boots.com/nyx-professional-makeup-mechanical-lip-pencil-10207801,0,D,D_311
D_312,Milani Baked Bronzer - Glow,https://www.milanimakeup.co.uk/face/bronzer/milani-baked-bronzer/,0,D,D_312
D_313,L'Oreal True Match foundation powder,https://www.boots.com/loreal-paris-true-match-powder-10052291,0,D,D_313
D_314,NYX Suede matte lip liner - los angeles,https://www.cultbeauty.co.uk/nyx-professional-makeup-suede-matte-lip-liner.html?variant_id=10847,0,D,D_314
D_315,NYX Liquid Suede lipstick - Downtown Beauty,https://www.cultbeauty.co.uk/nyx-professional-makeup-liquid-suede-cream-lipstick.html?variant_id=9988,0,D,D_315
D_316,NYX Soft matte lip cream - Milan,https://www.nyxcosmetics.co.uk/en_GB/lips/lipstick/soft-matte-lip-cream/NYX_007.html,0,D,D_316
D_317,NYX Matte bronzer - Medium,https://www.boots.com/nyx-professional-makeup-matte-body-bronzer-10207904,0,D,D_317
D_318,Rimmel Kate Lasting Finish Lipstick - 03,https://www.superdrug.com/Rimmel/Rimmel-Kate-Moss-Lipstick-Shade-3/p/301254,0,D,D_318
D_319,Revolution Matte Concealer Stick,https://www.superdrug.com/Make-Up/Face/Concealer/Revolution-Matte-Concealer-Stick-05-Light-Medium/p/240529,0,D,D_319
D_320,Revolution Conceal & Define Concealer,https://www.superdrug.com/Make-Up/Face/Concealer/Revolution-Conceal-and-Define-Concealer-C7/p/751540,0,D,D_320
D_321,NYX Soft Matte Lip Cream Copenhagen,https://www.boots.com/nyx-professional-makeup-soft-matte-lip-cream-14g-10207816,0,D,D_321
D_322,NYX powder blush - Taupe,https://www.amazon.co.uk/Powder-Blush-colour-PB11-Taupe/dp/B014ZVPXWE,0,D,D_322
D_323,GOSH Contour'N'Strobe Kit - Light,https://www.amazon.co.uk/GOSH-CONTOUR-STROBE-KIT-Light/dp/B01HMPUA1Y,0,D,D_323
D_324,Sleek Brow Kit - Dark,https://www.boots.com/sleek-makeup-brow-kit,0,D,D_324
D_325,L'Oreal Color Riche Lipstick - Fairest nude,https://www.amazon.co.uk/LOreal-Colour-Lipcolour-Fairest-2-Pack/dp/B004XJOA96,0,D,D_325
D_326,The Ordinary High Adherence Silicone Primer,https://www.cultbeauty.co.uk/the-ordinary-high-adherence-silicone-primer.html,0,D,D_326
D_327,Maybelline Face Studio Master Strobe in Medium Nude Glow,https://www.maybelline.co.uk/face/highlighter/strobe-stick/Nude-Glow,0,D,D_327
D_328,NYX Full Coverage Concealer jar,https://www.boots.com/nyx-professional-makeup-concealer-jar-10207804,0,D,D_328
D_329,Maybelline Fit Me Oil-Free Foundation Stick,https://www.amazon.co.uk/Maybelline-New-York-Oil-Free-Foundation/dp/B00DRPSQ60,0,D,D_329
D_330,NYX perfect filter eyeshadow palette,https://pricespy.co.uk/beauty-health/makeup/eyeshadow-palette/nyx-perfect-filter-eyeshadow-palette--p4359891,0,D,D_330
D_331,NYX Liquid Suede Lipstick - Kitten Heels,https://www.boots.com/nyx-professional-makeup-liquid-suede-cream-lipstick-10207891,0,D,D_331
D_332,Revolution Liquid Highlighter,https://www.superdrug.com/Makeup-Revolution-Liquid-Highlighters/Revolution-Liquid-Highlighter-Unicorn-Elixir/p/741444,0,D,D_332
D_333,Kylie Slim Lip Pencil - Natural,https://www.amazon.co.uk/NYX-Cosmetics-Slim-Lip-Pencil/dp/B002R2ATUA,0,D,D_333
D_334,Maybelline Vivid Metal liquid lipstick - Luna,https://www.superdrug.com/Make-Up/Lips/Liquid-Lipsticks/Maybelline-Vivid-Metal-Liquid-95-Luna/p/739665,0,D,D_334
D_335,NYX Tinted Brow mascara,https://www.boots.com/nyx-professional-makeup-tinted-brow-mascara-10209035,0,D,D_335
D_336,Revolution Skin Kiss bronze,https://www.revolutionbeauty.com/en/Revolution-Skin-Kiss-Bronze-Kiss/m-2352.aspx,0,D,D_336
D_337,W7 glowcomotion,https://www.amazon.co.uk/W7-Glowcomotion-Shimmer-Highlighter-Eyeshadow/dp/B01B5X8ACU,0,D,D_337
D_338,Revolution I Heart Revolution I ♡ Chocolate - Rose Gold palette,https://www.superdrug.com/Make-Up/Eye-Makeup/Eye-Shadow/I-Heart-Revolution-Eyeshadow-Palette-Rose-Gold/p/743362,0,D,D_338
D_339,NYX studio finishing powder - translucent,https://www.boots.com/nyx-professional-makeup-studio-finishing-powder-translucent-finish-10207818,0,D,D_339
D_340,Doll Beauty - Gilly Lashes,https://www.dollbeauty.co.uk/products/false-eyelashes-gilly,0,D,D_340
D_341,NYX Ultimate Shadow Brights Palette,https://www.boots.com/nyx-professional-makeup-ultimate-shadow-palette-brights-10223101,0,D,D_341
D_342,Revolution Awesome Double Flick eyeliner,https://www.superdrug.com/Make-Up/Eye-Makeup/Eyeliner/Revolution-Eyeliner-Flick-Thick-&-Thin-5g/p/240306,0,D,D_342
D_343,Rimmel Lasting Finish Lipstick by Kate Moss Shade: 03,https://www.amazon.co.uk/Rimmel-London-Lasting-Finish-Lipstick/dp/B00DDU18DM,0,D,D_343
D_344,NYX Matte Bronzer - medium,https://www.boots.com/nyx-professional-makeup-matte-body-bronzer-10207904,0,D,D_344
D_345,Milani Strobelight highlighter - Sun Glow,https://www.milanimakeup.co.uk/face/highlighters/milani-strobelight-instant-glow-powder/,0,D,D_345
D_346,NYX Tame and Frame Brow Pomade,https://www.boots.com/nyx-professional-makeup-tame-and-frame-tinted-brow-pomade-10207892,0,D,D_346
D_347,Revolution HD Pro Powder Contour Light Medium,https://www.superdrug.com/Make-Up/Face/Contour-Kits/Revolution-HD-Pro-Powder-Contour-Light-Medium/p/710800,0,D,D_347
D_348,NYX Matte lipstick - Butter,https://www.cultbeauty.co.uk/nyx-professional-makeup-matte-lipstick.html?variant_id=10011,0,D,D_348
D_349,GOSH Foundation Plus+ Creamy Compact,https://www.superdrug.com/GOSH/Foundation-Plus-Creamy-Compact-Ivory-002/p/755895,0,D,D_349
D_350,Barry M Crushed Jewels Glitter Eye Shadow - Cloud Nine,https://www.barrym.com/product/Crushed-Jewel-Cream-Eyeshadows,0,D,D_350
D_351,NYX Slim Lip Pencil - True Red,https://www.amazon.co.uk/NYX-Cosmetics-Slim-Lip-Pencil/dp/B009WI4GHO,0,D,D_351
D_352,NYX Matte lipstick - Eden,https://www.cultbeauty.co.uk/nyx-professional-makeup-matte-lipstick.html?variant_id=10014,0,D,D_352
D_353,NYX Liquid Suede lip cream - Cherry Skies,https://www.cultbeauty.co.uk/nyx-professional-makeup-liquid-suede-cream-lipstick.html?variant_id=9986,0,D,D_353
D_354,Zoeva Soft Kohl eyeliner pencil,https://www.cultbeauty.co.uk/zoeva-soft-kohl-eyeliner.html,0,D,D_354
D_355,NYX Powder Blush - Taupe,https://www.boots.com/nyx-professional-makeup-high-definition-blush-10207839,0,D,D_355
D_356,GOSH BB cream,https://www.superdrug.com/GOSH/Gosh-BB-Cream-Sand-1/p/519750,0,D,D_356
D_357,Revolution Highlighter palette - Rose Lights,https://www.superdrug.com/Make-Up/Face/Highlighter-Palette/Revolution-Highlighter-Palette-Rose-Lights/p/716943,0,D,D_357
D_358,NYX Matte Bronzer - Dark,https://www.nyxcosmetics.co.uk/en_GB/face/bronzer/matte-bronzer/NYX_063.html,0,D,D_358
D_359,NYX Mineral foundation Stick,https://www.boots.com/nyx-professional-makeup-mineral-stick-foundation-10213363,0,D,D_359
D_360,NYX Extra Creamy Round lipstick - Chloe,https://www.nyxcosmetics.co.uk/en_GB/lips/lipstick/extra-creamy-round-lipstick/NYX_006.html,0,D,D_360
D_361,No7 Stay Perfect Foundation,https://www.boots.com/no7-stay-perfect-foundation-10162926,0,D,D_361
